source_path,dataset_name,crop,class,image_count,source_type,license_if_known,selected_for_training
F:\corn (4) potato (3) rice(4) wheat (14).zip::Wheat_BrownRust,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Wheat_BrownRust,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Wheat_CommonRootRot,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Wheat_CommonRootRot,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Wheat_FusariumHeadBlight,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Wheat_FusariumHeadBlight,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Wheat_Healthy,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Wheat_Healthy,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Wheat_LeafBlight,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Wheat_LeafBlight,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Wheat_Mildew,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Wheat_Mildew,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Wheat_Mite,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Wheat_Mite,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Wheat_Septoria,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Wheat_Septoria,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Wheat_Smut,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Wheat_Smut,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Wheat_Stemfly,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Wheat_Stemfly,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Wheat_Tanspot,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Wheat_Tanspot,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\corn (4) potato (3) rice(4) wheat (14).zip::Wheat_YellowRust,corn (4) potato (3) rice(4) wheat (14).zip,Corn / Potato / Rice / Wheat,Wheat_YellowRust,49,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\cotton dataset.zip::bacterial_blight,cotton dataset.zip,Cotton,bacterial_blight,427,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\cotton dataset.zip::curl_virus,cotton dataset.zip,Cotton,curl_virus,427,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\cotton dataset.zip::fussarium_wilt,cotton dataset.zip,Cotton,fussarium_wilt,427,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\cotton dataset.zip::healthy,cotton dataset.zip,Cotton,healthy,427,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\ginger plant dataset.zip::Bacterial_Wilt,ginger plant dataset.zip,Ginger,Bacterial_Wilt,1561,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\ginger plant dataset.zip::Bacterial_wilt,ginger plant dataset.zip,Ginger,Bacterial_wilt,1561,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\ginger plant dataset.zip::Healthy,ginger plant dataset.zip,Ginger,Healthy,1561,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\ground nut.zip,ground nut.zip,Groundnut,General / Unpartitioned,166,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\ragi crop 2.zip,ragi crop 2.zip,Ragi,General / Unpartitioned,0,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,NO (Empty/Corrupt)
F:\ragi dataset.zip::Healthy,ragi dataset.zip,Ragi,Healthy,2103,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\ragi dataset.zip::blast,ragi dataset.zip,Ragi,blast,2103,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\ragi dataset.zip::rust,ragi dataset.zip,Ragi,rust,2103,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\rice image dataset.zip::Arborio,rice image dataset.zip,Rice (Paddy),Arborio,15000,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,NO (Duplicate/Non-foliar)
F:\rice image dataset.zip::Basmati,rice image dataset.zip,Rice (Paddy),Basmati,15000,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,NO (Duplicate/Non-foliar)
F:\rice image dataset.zip::Ipsala,rice image dataset.zip,Rice (Paddy),Ipsala,15000,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,NO (Duplicate/Non-foliar)
F:\rice image dataset.zip::Jasmine,rice image dataset.zip,Rice (Paddy),Jasmine,15000,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,NO (Duplicate/Non-foliar)
F:\rice image dataset.zip::Karacadag,rice image dataset.zip,Rice (Paddy),Karacadag,15000,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,NO (Duplicate/Non-foliar)
F:\rice leaf dataset2.zip::Bacterial Leaf Blight,rice leaf dataset2.zip,Rice (Paddy),Bacterial Leaf Blight,235,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\rice leaf dataset2.zip::Brown Spot,rice leaf dataset2.zip,Rice (Paddy),Brown Spot,235,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\rice leaf dataset2.zip::Healthy Rice Leaf,rice leaf dataset2.zip,Rice (Paddy),Healthy Rice Leaf,235,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\rice leaf dataset2.zip::Leaf Blast,rice leaf dataset2.zip,Rice (Paddy),Leaf Blast,235,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\rice leaf dataset2.zip::Leaf scald,rice leaf dataset2.zip,Rice (Paddy),Leaf scald,235,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\rice leaf dataset2.zip::Narrow Brown Leaf Spot,rice leaf dataset2.zip,Rice (Paddy),Narrow Brown Leaf Spot,235,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\rice leaf dataset2.zip::Rice Hispa,rice leaf dataset2.zip,Rice (Paddy),Rice Hispa,235,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\rice leaf dataset2.zip::Sheath Blight,rice leaf dataset2.zip,Rice (Paddy),Sheath Blight,235,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\rice leaf disese dataset.zip::Bacterial leaf blight,rice leaf disese dataset.zip,Rice (Paddy),Bacterial leaf blight,40,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\rice leaf disese dataset.zip::Brown spot,rice leaf disese dataset.zip,Rice (Paddy),Brown spot,40,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\rice leaf disese dataset.zip::Leaf smut,rice leaf disese dataset.zip,Rice (Paddy),Leaf smut,40,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\rice leaf disese.zip::Bacterial leaf blight,rice leaf disese.zip,Rice (Paddy),Bacterial leaf blight,40,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,NO (Duplicate/Non-foliar)
F:\rice leaf disese.zip::Brown spot,rice leaf disese.zip,Rice (Paddy),Brown spot,40,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,NO (Duplicate/Non-foliar)
F:\rice leaf disese.zip::Leaf smut,rice leaf disese.zip,Rice (Paddy),Leaf smut,40,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,NO (Duplicate/Non-foliar)
F:\tea plant leaf dataset.zip::Anthracnose,tea plant leaf dataset.zip,Tea,Anthracnose,110,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\tea plant leaf dataset.zip::algal leaf,tea plant leaf dataset.zip,Tea,algal leaf,110,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\tea plant leaf dataset.zip::bird eye spot,tea plant leaf dataset.zip,Tea,bird eye spot,110,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\tea plant leaf dataset.zip::brown blight,tea plant leaf dataset.zip,Tea,brown blight,110,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\tea plant leaf dataset.zip::gray light,tea plant leaf dataset.zip,Tea,gray light,110,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\tea plant leaf dataset.zip::healthy,tea plant leaf dataset.zip,Tea,healthy,110,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\tea plant leaf dataset.zip::red leaf spot,tea plant leaf dataset.zip,Tea,red leaf spot,110,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
F:\tea plant leaf dataset.zip::white spot,tea plant leaf dataset.zip,Tea,white spot,110,ZIP Archive (Central Dir),Kaggle / Mendeley / Open Dataset,YES
